System,SysCenterName,TARGETID_A,CoordUqName_A,RA_A,DEC_A,RA_A_sexa,DEC_A_sexa,Z_A,ZERR_A,ZWARN_A,mag_g_A,mag_r_A,mag_z_A,mag_W1_A,mag_W2_A,flux_g_A,flux_r_A,flux_z_A,flux_W1_A,flux_W2_A,flux_ivar_g_A,flux_ivar_r_A,flux_ivar_z_A,flux_ivar_W1_A,flux_ivar_W2_A,MORPHTYPE_A,SPECTYPE_A,LASTNIGHT_A,TARGETID_B,CoordUqName_B,RA_B,DEC_B,RA_B_sexa,DEC_B_sexa,Z_B,ZERR_B,ZWARN_B,mag_g_B,mag_r_B,mag_z_B,mag_W1_B,mag_W2_B,flux_g_B,flux_r_B,flux_z_B,flux_W1_B,flux_W2_B,flux_ivar_g_B,flux_ivar_r_B,flux_ivar_z_B,flux_ivar_W1_B,flux_ivar_W2_B,MORPHTYPE_B,SPECTYPE_B,LASTNIGHT_B,sep_AB,110kpc_seplim_zA,110kpc_seplim_zB,delta_vr,rp_zA,rp_zB,match_type,match_cite,visual_class
J0239+0000,J023921.429+000043.399,39627785395768134,J023921+000050,39.83882,0.01379,02 39 21.316,+00 00 49.648,2.28729,0.00017,0,19.815,19.863,19.581,19.544,19.093,11.854,11.344,14.711,15.224,23.063,791.289,964.695,219.513,2.197,0.563,PSF,QSO,20210930,39627785395768181,J023922+000037,39.83976,0.01032,02 39 21.543,+00 00 37.149,2.28297,0.00028,0,21.215,21.364,20.951,20.981,20.54,3.265,2.847,4.165,4.053,6.081,1611.058,1752.925,278.276,3.137,0.668,PSF,QSO,20211002,12.952,13.393,13.389,394.832,106.38,106.415,New Discovery,,LQC
J0239+0100,J023927.258+010030.165,39627809554959660,J023927+010031,39.86435,1.00863,02 39 27.444,+01 00 31.064,1.3036,0.0004,0,22.556,22.2,21.948,19.992,19.741,0.949,1.318,1.662,10.077,12.691,2623.864,2493.807,264.107,2.774,0.597,PSF,QSO,20210930,39627809554959613,J023927+010029,39.8628,1.00813,02 39 27.071,+01 00 29.267,1.30755,0.00028,2,18.747,18.364,18.551,17.791,17.144,31.712,45.135,37.983,76.459,138.822,579.71,539.115,170.849,1.946,0.431,PSF,QSO,20211002,5.883,13.126,13.122,514.435,49.298,49.313,New Discovery,,Contaminant
J0239-0534,J023943.670-053449.014,39627652654432839,J023944-053446,39.9336,-5.57957,02 39 44.063,-05 34 46.443,2.17264,0.00016,0,19.502,19.379,19.097,19.249,18.967,15.827,17.719,22.971,19.966,25.882,860.222,736.184,130.108,3.023,0.685,PSF,QSO,20211106,39627652654432735,J023943-053452,39.93032,-5.581,02 39 43.277,-05 34 51.585,2.17575,0.00016,0,20.535,20.393,19.913,19.727,19.412,6.107,6.96,10.831,12.855,17.183,1518.028,1319.966,223.828,3.176,0.707,PSF,QSO,20220121,12.815,13.282,13.285,293.798,106.134,106.111,New Discovery,,QP
J0240-0110,J024052.327-011002.011,39627755200978879,J024052-011005,40.21836,-1.16811,02 40 52.407,-01 10 05.193,1.0374,0.00028,0,21.417,21.039,20.602,19.576,19.059,2.711,3.842,5.746,14.782,23.797,2745.756,1694.709,338.915,2.857,0.625,PSF,QSO,20210930,39627755200978856,J024052-010959,40.2177,-1.16634,02 40 52.248,-01 09 58.829,1.03534,0.00033,0,21.505,20.987,20.764,18.849,18.852,2.499,4.028,4.95,28.862,28.78,2827.525,1568.178,392.145,2.628,0.62,PSF,QSO,20211002,6.798,13.621,13.627,302.969,54.899,54.875,New Discovery,,QP
J0241+2650,J024102.886+265030.098,39628409436897520,J024103+265031,40.262,26.84186,02 41 02.879,+26 50 30.713,0.73511,4e-05,0,21.149,20.973,20.558,19.61,20.396,3.47,4.081,5.983,14.316,6.944,1586.145,372.216,27.024,2.691,0.647,PSF,QSO,20211102,39628409436897522,J024103+265029,40.26205,26.84152,02 41 02.893,+26 50 29.484,0.73504,0.00014,0,24.237,26.059,23.049,21.042,19.781,0.202,0.038,0.603,3.831,12.234,1526.865,531.216,27.657,2.703,0.646,PSF,QSO,20211130,1.243,15.103,15.104,12.479,9.052,9.051,New Discovery,,Contaminant
J0242+1301,J024200.037+130127.851,39628097108054303,J024200+130130,40.50043,13.02494,02 42 00.102,+13 01 29.785,2.39503,0.00183,4,23.109,22.926,22.136,20.349,20.123,0.57,0.675,1.398,7.249,8.929,1853.112,506.492,61.606,2.975,0.647,PSF,QSO,20211101,39628097108054291,J024160+130126,40.49989,13.02387,02 41 59.972,+13 01 25.918,2.39776,0.00072,0,23.082,22.961,22.59,21.277,21.203,0.585,0.654,0.921,3.084,3.302,1849.697,510.046,61.951,2.942,0.632,PSF,QSO,20211108,4.309,13.507,13.51,241.222,35.09,35.082,New Discovery,,QP
J0242+1513,J024204.224+151312.557,39628149901757120,J024204+151313,40.51756,15.2203,02 42 04.214,+15 13 13.076,0.67837,3e-05,0,19.548,19.453,19.348,17.495,17.108,15.163,16.549,18.224,100.454,143.502,1009.257,353.844,119.806,1.688,0.424,PSF,QSO,20211101,39628149901757121,J024204+151312,40.51764,15.22001,02 42 04.234,+15 13 12.039,0.67811,0.00012,0,22.352,22.192,21.146,,,1.146,1.328,3.481,-3.728,-10.432,369.951,102.739,18.85,1.281,0.325,EXP,QSO,20211129,1.078,15.591,15.594,44.789,7.607,7.606,New Discovery,,Contaminant
J0242-0803,J024234.965-080314.041,39627592642332494,J024235-080312,40.64469,-8.05327,02 42 34.726,-08 03 11.785,1.00386,0.00043,0,20.257,19.941,19.847,18.664,18.278,7.894,10.554,11.514,34.221,48.845,1559.588,987.252,204.328,2.69,0.614,PSF,QSO,20211028,39627592642332556,J024235-080316,40.64668,-8.05453,02 42 35.204,-08 03 16.296,1.00551,0.00032,0,21.066,20.872,20.587,18.897,18.455,3.747,4.481,5.825,27.618,41.509,1909.276,1233.122,208.445,2.669,0.637,PSF,QSO,20211201,8.415,13.723,13.717,245.863,67.456,67.482,New Discovery,,QP
J0244+1515,J024430.980+151558.317,39628149914337544,J024431+151558,41.12949,15.26609,02 44 31.077,+15 15 57.929,2.24069,0.00038,0,22.652,22.586,21.736,20.426,20.236,0.869,0.924,2.021,6.752,8.046,1516.432,557.853,105.659,2.701,0.586,PSF,QSO,20211101,39628149914337527,J024431+151559,41.12868,15.26631,02 44 30.884,+15 15 58.706,2.23665,0.00023,0,20.165,20.039,19.786,19.78,19.42,8.59,9.644,12.18,12.242,17.059,895.304,391.363,94.534,2.662,0.58,PSF,QSO,20211129,2.91,13.347,13.343,373.461,23.981,23.988,New Discovery,,QP
J0244-1252,J024438.219-125237.287,39627473830285631,J024438-125239,41.15819,-12.87743,02 44 37.965,-12 52 38.752,1.07109,0.0002,0,19.676,19.407,19.56,18.355,17.768,13.475,17.263,14.995,45.479,78.147,1342.465,1097.282,228.645,2.559,0.596,PSF,QSO,20211031,39627473830285715,J024438-125236,41.16031,-12.87662,02 44 38.474,-12 52 35.823,1.0703,0.00045,0,21.417,21.053,20.885,19.311,18.864,2.713,3.792,4.424,18.863,28.462,2698.677,2121.19,226.92,3.123,0.728,PSF,QSO,20211203,8.003,13.529,13.532,114.445,65.071,65.061,New Discovery,,QP
J0245+1439,J024548.521+143959.059,39628138233202878,J024549+143959,41.45226,14.66651,02 45 48.541,+14 39 59.440,1.12596,0.00012,0,20.1,19.607,19.853,18.357,17.891,9.122,14.365,11.451,45.423,69.773,561.577,183.726,61.981,2.137,0.478,PSF,QSO,20211101,39628138233202874,J024548+143959,41.45208,14.6663,02 45 48.500,+14 39 58.679,1.1262,0.00034,0,22.369,24.152,23.63,,20.748,1.128,0.218,0.353,-0.087,5.021,496.401,171.701,29.83,2.052,0.455,EXP,QSO,20211129,0.971,13.401,13.401,34.315,7.974,7.974,New Discovery,,Contaminant
J0248+0009,J024821.029+000956.983,39627791473314613,J024821+000957,42.08856,0.1659,02 48 21.255,+00 09 57.228,1.64222,0.00044,0,21.603,21.469,21.43,21.025,19.992,2.285,2.585,2.679,3.891,10.071,3737.584,2344.326,398.968,2.984,0.621,PSF,QSO,20211001,39627791473314554,J024821+000957,42.08668,0.16576,02 48 20.802,+00 09 56.737,1.64124,0.00044,0,19.322,19.081,18.921,18.6,18.014,18.677,23.324,27.018,36.312,62.311,1350.496,1053.082,278.036,2.475,0.535,PSF,QSO,20211016,6.807,12.985,12.985,111.358,57.668,57.668,Dual AGN Candidate,BigMAC,QP
J0249+0409,J024945.225+040957.277,39627888080719726,J024945+040958,42.43837,4.16606,02 49 45.209,+04 09 57.812,0.13924,0.0,0,18.019,17.623,17.275,15.698,15.315,62.001,89.294,122.991,525.646,747.9,422.02,353.632,111.025,0.595,0.175,PSF,QSO,20211010,39627888080719734,J024945+040957,42.4385,4.16576,02 49 45.240,+04 09 56.741,0.13938,1e-05,0,19.713,19.086,18.454,18.904,20.047,13.021,23.198,41.551,27.447,9.58,487.198,312.878,50.891,0.605,0.174,SER,QSO,20211219,1.166,44.784,44.745,37.78,2.864,2.866,New Discovery,,Contaminant
J0251+0519,J025144.694+051922.056,39627912189577143,J025145+051920,42.93572,5.32216,02 51 44.573,+05 19 19.774,1.94066,0.00028,0,19.575,19.341,19.068,18.711,18.093,14.793,18.356,23.603,32.771,57.892,1176.037,640.394,186.448,2.437,0.549,PSF,QSO,20211105,39627912189577168,J025145+051924,42.93673,5.32343,02 51 44.816,+05 19 24.338,1.94186,0.00078,0,22.535,21.987,21.298,20.033,19.284,0.968,1.603,3.024,9.7,19.338,3325.062,1385.112,240.798,2.86,0.618,PSF,QSO,20211126,5.838,13.101,13.101,122.313,49.02,49.017,New Discovery,,QP
J0252+0612,J025202.866+061216.531,39627936256492265,J025203+061217,43.01297,6.20475,02 52 03.113,+06 12 17.114,0.64261,2e-05,0,22.9,21.537,20.937,19.481,18.691,0.692,2.428,4.22,16.134,33.385,4040.579,1005.452,120.897,2.479,0.578,PSF,GALAXY,20211105,39627936256492214,J025203+061216,43.01091,6.20443,02 52 02.619,+06 12 15.948,0.63999,2e-05,0,20.273,20.016,20.006,18.473,18.224,7.778,9.856,9.946,40.813,51.347,1614.753,627.936,113.231,2.251,0.543,PSF,QSO,20211126,7.467,15.954,15.982,478.271,51.486,51.394,New Discovery,,QP
J0252-0850,J025226.250-085055.202,39627574745239493,J025226-085052,43.11013,-8.84771,02 52 26.431,-08 50 51.767,2.56837,0.00072,0,21.386,21.242,21.27,20.715,20.854,2.79,3.185,3.103,5.174,4.553,2215.838,1388.358,331.989,3.396,0.793,PSF,QSO,20211028,39627574745239448,J025226-085059,43.10862,-8.84962,02 52 26.069,-08 50 58.638,2.57015,0.00071,0,21.809,21.541,21.376,20.527,20.125,1.89,2.42,2.817,6.155,8.91,2491.785,1471.135,300.354,3.328,0.76,PSF,QSO,20211201,8.719,13.709,13.711,149.797,69.963,69.952,New Discovery,,QP
J0255+0131,J025533.605+013102.168,39627821701665269,J025534+013103,43.88985,1.51739,02 55 33.565,+01 31 02.612,0.14159,1e-05,0,17.826,17.587,17.263,15.296,14.864,74.091,92.296,124.397,761.296,1133.623,476.356,373.544,132.611,0.433,0.124,PSF,QSO,20211005,39627821701665286,J025534+013102,43.89019,1.51715,02 55 33.644,+01 31 01.724,0.14185,2e-05,0,19.708,18.954,18.226,18.112,17.778,13.088,26.218,51.217,56.902,77.391,454.168,252.025,35.369,0.453,0.126,SER,QSO,20211207,1.488,44.156,44.089,66.769,3.707,3.713,New Discovery,,Contaminant
J0257-0724,J025726.397-072408.805,39627604684178843,J025726-072409,44.35852,-7.40238,02 57 26.044,-07 24 08.582,1.91597,0.00085,0,21.255,21.175,20.976,18.907,18.566,3.146,3.389,4.07,27.368,37.452,1934.585,1643.143,212.857,2.466,0.572,PSF,QSO,20211029,39627604684178925,J025727-072409,44.36146,-7.40251,02 57 26.750,-07 24 09.029,1.91076,0.00021,0,18.914,18.777,18.579,18.273,17.838,27.182,30.856,37.031,49.087,73.274,618.244,653.35,149.648,2.261,0.526,PSF,QSO,20211111,10.504,13.085,13.082,535.657,88.302,88.323,New Discovery,,LQC
